Performance Statistics   2015-10-19 13:32:00 - 2015-10-19 13:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   26,0          26          26         0,0           1
delta$MainScreen#inject                                  3,0           3           3         0,0           1
delta$MainScreen#loadDescriptor                        573,0         573         573         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                    12,0          12          12         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           39,0          39          39         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                            169,0         169         169         0,0           1
delta$Storage.view#inject                                1,0           1           1         0,0           1
delta$Storage.view#loadDescriptor                      148,0         148         148         0,0           1
delta$Storage.view#xml                                  40,0          40          40         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor          5,0           5           5         0,0           1
mainWindow#init                                         33,0          33          33         0,0           1
mainWindow#inject                                        7,0           7           7         0,0           1
mainWindow#loadDescriptor                              639,0         639         639         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         314,0         314         314         0,0           1
windowActions#xml                                        3,5           2           5         1,5           2

Performance Statistics   2015-10-19 13:36:00 - 2015-10-19 13:38:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   24,0          24          24         0,0           1
delta$MainScreen#inject                                  3,0           3           3         0,0           1
delta$MainScreen#loadDescriptor                        513,0         513         513         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                    14,0          14          14         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           95,0          95          95         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                            151,0         151         151         0,0           1
delta$Operation.edit#init                                0,0           0           0         0,0           1
delta$Operation.edit#inject                              0,0           0           0         0,0           1
delta$Operation.edit#loadDescriptor                     66,0          66          66         0,0           1
delta$Operation.edit#ready                               0,0           0           0         0,0           1
delta$Operation.edit#setItem                             2,0           2           2         0,0           1
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           1
delta$Operation.edit#xml                                 3,0           3           3         0,0           1
delta$Operation.edit.windowActions#loadDescriptor         4,0           4           4         0,0           1
delta$Operation.edit@categoriesDs                       22,0          22          22         0,0           1
delta$Storage.view#init                                  4,7           2          10         3,8           3
delta$Storage.view#inject                                0,3           0           1         0,5           3
delta$Storage.view#loadDescriptor                       34,7          13          78        30,6           3
delta$Storage.view#ready                                 0,0           0           0         0,0           3
delta$Storage.view#setItem                              44,0           8         113        48,8           3
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           3
delta$Storage.view#xml                                   4,0           4           4         0,0           3
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           3
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           3
delta$Storage.view.windowActions#loadDescriptor          4,3           4           5         0,5           3
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           3
delta$Storage.view@operationsDs                         34,3           8          81        33,1           3
delta$Storage.view@storageCategoriesStatesDs            44,7          10          95        36,4           3
mainWindow#init                                         56,0          56          56         0,0           1
mainWindow#inject                                        8,0           8           8         0,0           1
mainWindow#loadDescriptor                              450,0         450         450         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         205,0         205         205         0,0           1
windowActions#xml                                        4,8           2          16         5,6           5

Performance Statistics   2015-10-19 13:38:00 - 2015-10-19 13:40:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   16,0          16          16         0,0           1
delta$MainScreen#inject                                  0,0           0           0         0,0           1
delta$MainScreen#loadDescriptor                       2389,0        2389        2389         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                     3,0           3           3         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           13,0          13          13         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                             19,0          19          19         0,0           1
delta$Operation.edit#init                                0,0           0           0         0,0           1
delta$Operation.edit#inject                              0,0           0           0         0,0           1
delta$Operation.edit#loadDescriptor                     21,0          21          21         0,0           1
delta$Operation.edit#ready                               0,0           0           0         0,0           1
delta$Operation.edit#setItem                           102,0         102         102         0,0           1
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           1
delta$Operation.edit#xml                                 6,0           6           6         0,0           1
delta$Operation.edit.windowActions#loadDescriptor         5,0           5           5         0,0           1
delta$Operation.edit@categoriesDs                       55,0          55          55         0,0           1
